"var1","var2","spearman_corr","p_value"
"hormone8","lipid_pero4",0.0156638527780297,0.588
"factor_prl","hormone7",0.0156481588178256,0.588
"hormone8","antioxidant2",0.0155484611357681,0.602
"hormone10_generated","antioxidant3",-0.0150396247566107,0.594
"lipids1","lipid_pero2",0.0146748148176076,0.642
"hormone6","lipid_pero5",0.0145507135737299,0.618
"antioxidant1","antioxidant3",-0.0144665617287379,0.642
"hormone2","antioxidant2",0.0144415390026236,0.61
"hormone10_generated","lipid_pero4",0.0143955827319088,0.656
"factor_eth","lipid_pero5",-0.0143863633310781,0.628
"hormone2","hormone5",0.0142521954851895,0.65
"antioxidant3","antioxidant5",-0.014100123281459,0.63
"factor_prl","hormone10_generated",0.0138348882594194,0.656
"factor_pcos","lipids1",-0.0138200783401849,0.858
"factor_pcos","lipids5",-0.0137079658136013,0.872
"factor_h","hormone10_generated",-0.0136144198451557,0.678
"hormone7","lipid_pero1",-0.0134621779449329,0.642
"factor_h","hormone1",0.0131157859846555,0.672
"hormone1","lipids4",-0.0130439020234311,0.664
"hormone8","lipids2",-0.0128822366562989,0.67
"hormone10_generated","lipid_pero5",-0.0128290760403714,0.638
"lipids1","lipid_pero5",0.0125384044769114,0.636
"factor_prl","lipids4",-0.0123247991231409,0.696
"lipids3","antioxidant5",0.0123202367830453,0.678
"hormone6","antioxidant4",-0.0123169767978043,0.646
"factor_prl","lipids2",-0.0121952724094189,0.648
"hormone10_generated","lipids5",-0.0121850361559421,0.722
"factor_eth","antioxidant2",-0.012044050156643,0.684
"hormone3","hormone7",-0.011864642580472,0.672
"factor_pcos","hormone1",0.0116668303531824,0.86
"hormone5","lipid_pero4",-0.0115042296600004,0.646
"hormone5","antioxidant1",0.011471717375063,0.7
"hormone4","lipid_pero3",0.0114013218928272,0.684
"lipids3","antioxidant4",-0.0111717622203548,0.694
"hormone8","сarb_metabolism",0.0111089268276393,0.696
"hormone2","lipid_pero1",0.0108911860436595,0.692
"hormone1","antioxidant1",0.0107377921415461,0.716
"hormone8","lipid_pero2",-0.0104410853252836,0.716
"lipid_pero4","lipid_pero5",-0.0101687145625415,0.738
"lipids1","lipid_pero3",0.0100470269824054,0.76
"lipids1","antioxidant2",0.00997578470780334,0.746
"hormone7","lipid_pero2",0.00984971915088909,0.758
"factor_prl","lipids5",-0.00974258168310324,0.736
"antioxidant2","antioxidant5",-0.00966809338183976,0.734
"hormone1","lipids3",-0.00944683953486874,0.778
"factor_eth","lipids4",-0.00940926696118651,0.728
"lipid_pero2","antioxidant2",0.00937521554217179,0.762
"сarb_metabolism","antioxidant3",0.00917113841449943,0.784
"hormone6","lipid_pero3",-0.00913389317295424,0.754
"factor_prl","antioxidant4",0.00907221877460453,0.756
"hormone7","lipids5",0.00854008724277177,0.788
"hormone1","lipids2",-0.0084135061411633,0.768
"hormone4","lipid_pero2",0.00836637784813003,0.786
"lipids2","antioxidant1",-0.00830208038637026,0.768
"сarb_metabolism","antioxidant2",0.0079789614624183,0.788
"hormone2","hormone6",0.00792874545648014,0.774
"factor_prl","lipid_pero4",-0.00776724381283779,0.772
"hormone5","lipids4",-0.00776330140761571,0.788
